numbers,bonus_ball,,,,,
3,6,10,20,25,41,43
2,3,18,38,40,41,33
26,34,38,40,42,47,17
9,21,24,26,43,47,15
2,6,25,26,32,48,35
5,8,19,26,39,47,37
3,8,18,39,41,42,10
6,25,26,32,38,39,1
2,7,17,33,35,37,15
7,17,27,29,41,42,22
3,6,10,20,25,41,43
2,3,18,38,40,41,33
26,34,38,40,42,47,17
9,21,24,26,43,47,15
2,6,25,26,32,48,35
5,8,19,26,39,47,37
3,8,18,39,41,42,10
6,25,26,32,38,39,1
16,22,26,33,38,46,30
1,12,15,36,41,45,47
11,27,28,33,35,49,26
4,12,25,28,34,43,38
6,11,21,30,44,46,34
7,8,13,28,39,45,43
10,14,20,33,36,38,5
21,22,25,35,42,47,7
10,15,25,26,29,42,45
1,19,23,25,37,42,45
16,22,26,33,38,46,30
1,12,15,36,41,45,47
11,27,28,33,35,49,26
4,12,25,28,34,43,38
6,11,21,30,44,46,34
7,8,13,28,39,45,43
10,14,20,33,36,38,5
21,22,25,35,42,47,7
10,15,25,26,29,42,45
1,19,23,25,37,42,45
12,14,19,20,22,32,3
3,8,18,21,44,45,19
4,5,10,14,16,29,26
11,17,21,27,35,37,20
2,10,13,15,17,33,22
6,11,16,31,45,48,3
4,14,28,37,41,42,21
1,6,10,21,35,47,11
5,24,27,34,40,44,48
6,21,42,44,46,49,37
12,14,19,20,22,32,3
3,8,18,21,44,45,19
4,5,10,14,16,29,26
11,17,21,27,35,37,20
2,10,13,15,17,33,22
6,11,16,31,45,48,3
4,14,28,37,41,42,21
1,6,10,21,35,47,11
5,24,27,34,40,44,48
6,21,42,44,46,49,37
1,5,14,19,31,38,37
7,10,22,36,39,43,6
1,13,15,19,22,48,40
8,11,13,16,23,38,2
12,36,37,38,40,46,7
12,16,22,25,37,44,38
5,8,29,33,42,45,7
4,27,35,41,43,47,45
8,19,20,26,35,39,32
2,5,22,25,29,36,17
1,5,14,19,31,38,37
7,10,22,36,39,43,6
1,13,15,19,22,48,40
8,11,13,16,23,38,2
12,36,37,38,40,46,7
12,16,22,25,37,44,38
5,8,29,33,42,45,7
4,27,35,41,43,47,45
8,19,20,26,35,39,32
2,5,22,25,29,36,17
7,12,15,25,30,36,11
8,9,13,19,29,39,47
8,12,19,22,30,40,36
4,10,36,38,45,47,25
1,6,11,19,40,43,31
2,15,20,29,32,34,43
2,23,31,33,38,40,26
1,9,24,27,47,49,8
23,28,34,41,43,48,12
11,12,13,26,44,46,10
7,12,15,25,30,36,11
8,9,13,19,29,39,47
8,12,19,22,30,40,36
4,10,36,38,45,47,25
1,6,11,19,40,43,31
2,15,20,29,32,34,43
2,23,31,33,38,40,26
1,9,24,27,47,49,8
23,28,34,41,43,48,12
11,12,13,26,44,46,10
14,20,42,44,46,48,34
14,20,23,26,32,46,21
9,14,27,35,37,40,48
2,11,13,16,19,32,37
23,24,36,39,42,45,20
8,20,28,32,47,49,16
2,35,41,43,45,49,23
7,10,20,41,46,47,16
12,29,35,36,43,48,27
8,9,13,30,39,45,26
2,5,23,25,27,36,19
14,15,18,19,28,30,8
1,3,5,31,34,38,42
5,7,17,22,31,35,18
19,21,27,41,44,47,25
12,17,18,22,25,32,13
6,32,35,42,45,46,30
6,13,21,25,30,42,9
2,18,19,33,37,44,38
5,7,30,34,36,38,13
2,5,23,25,27,36,19
14,15,18,19,28,30,8
1,3,5,31,34,38,42
5,7,17,22,31,35,18
19,21,27,41,44,47,25
12,17,18,22,25,32,13
6,32,35,42,45,46,30
6,13,21,25,30,42,9
2,18,19,33,37,44,38
5,7,30,34,36,38,13
1,6,13,19,24,37,5
1,26,39,46,47,49,21
2,14,17,29,38,43,22
8,17,20,30,33,48,16
18,24,36,37,38,49,11
3,6,10,14,21,26,46
2,19,29,32,39,46,27
6,7,11,21,30,38,3
1,4,12,30,33,35,29
7,11,18,27,28,46,38
1,6,13,19,24,37,5
1,26,39,46,47,49,21
2,14,17,29,38,43,22
8,17,20,30,33,48,16
18,24,36,37,38,49,11
3,6,10,14,21,26,46
2,19,29,32,39,46,27
6,7,11,21,30,38,3
1,4,12,30,33,35,29
7,11,18,27,28,46,38
1,4,6,18,27,42,46
9,12,18,21,28,41,7
6,7,13,17,19,40,44
2,4,16,27,36,40,5
4,15,22,29,40,43,45
10,20,23,32,36,49,31
6,20,31,33,37,42,22
6,9,32,35,44,49,43
7,16,18,28,31,38,45
6,12,29,37,43,47,11
1,4,6,18,27,42,46
9,12,18,21,28,41,7
6,7,13,17,19,40,44
2,4,16,27,36,40,5
4,15,22,29,40,43,45
10,20,23,32,36,49,31
6,20,31,33,37,42,22
6,9,32,35,44,49,43
7,16,18,28,31,38,45
6,12,29,37,43,47,11
15,16,28,29,35,47,17
2,14,15,21,22,44,37
1,9,18,36,38,39,23
9,11,20,22,36,43,46
6,28,29,37,41,42,11
13,15,18,32,35,43,4
4,6,16,17,26,44,36
1,13,17,22,23,38,46
13,22,24,28,31,38,14
9,12,15,24,25,28,33
15,16,28,29,35,47,17
2,14,15,21,22,44,37
1,9,18,36,38,39,23
9,11,20,22,36,43,46
6,28,29,37,41,42,11
13,15,18,32,35,43,4
4,6,16,17,26,44,36
1,13,17,22,23,38,46
13,22,24,28,31,38,14
9,12,15,24,25,28,33
23,32,33,36,47,49,4
14,15,35,41,46,47,8
3,6,15,17,37,47,21
5,8,13,30,38,41,4
6,7,10,21,40,43,1
3,8,32,33,36,44,34
11,13,24,25,38,39,12
4,8,24,27,28,32,5
1,4,34,37,38,40,46
2,9,19,33,46,48,20
23,32,33,36,47,49,4
14,15,35,41,46,47,8
3,6,15,17,37,47,21
5,8,13,30,38,41,4
6,7,10,21,40,43,1
3,8,32,33,36,44,34
11,13,24,25,38,39,12
4,8,24,27,28,32,5
1,4,34,37,38,40,46
2,9,19,33,46,48,20
6,22,28,32,35,40,2
14,22,28,31,35,45,10
1,4,15,27,44,46,24
1,4,21,26,35,38,22
15,17,25,27,45,49,23
1,18,23,41,42,49,27
1,5,9,22,23,41,29
8,13,26,28,38,39,35
1,17,30,34,41,43,40
10,15,24,43,44,45,3
6,22,28,32,35,40,2
14,22,28,31,35,45,10
1,4,15,27,44,46,24
1,4,21,26,35,38,22
15,17,25,27,45,49,23
1,18,23,41,42,49,27
1,5,9,22,23,41,29
8,13,26,28,38,39,35
1,17,30,34,41,43,40
10,15,24,43,44,45,3
9,17,18,29,30,35,16
1,20,36,38,39,49,13
4,11,13,22,27,41,30
4,9,10,26,34,39,11
17,25,27,34,35,45,28
4,6,12,33,43,45,28
19,21,24,26,29,41,3
4,9,14,16,33,38,5
15,16,19,27,29,40,3
6,8,13,24,25,48,23
9,17,18,29,30,35,16
1,20,36,38,39,49,13
4,11,13,22,27,41,30
4,9,10,26,34,39,11
17,25,27,34,35,45,28
4,6,12,33,43,45,28
19,21,24,26,29,41,3
4,9,14,16,33,38,5
15,16,19,27,29,40,3
6,8,13,24,25,48,23
8,12,14,22,32,41,11
1,9,14,17,21,34,30
3,14,28,30,33,44,11
9,13,28,32,41,49,26
10,20,29,36,37,44,18
3,11,12,20,29,41,8
2,15,18,20,26,34,22
4,6,8,15,18,32,29
5,8,22,32,39,49,11
5,11,12,22,36,41,17
8,12,14,22,32,41,11
1,9,14,17,21,34,30
3,14,28,30,33,44,11
9,13,28,32,41,49,26
10,20,29,36,37,44,18
3,11,12,20,29,41,8
2,15,18,20,26,34,22
4,6,8,15,18,32,29
5,8,22,32,39,49,11
5,11,12,22,36,41,17
15,21,27,30,31,34,43
1,6,8,20,30,40,12
4,18,24,34,43,45,40
5,6,18,27,28,39,13
8,9,19,30,39,47,35
13,20,28,32,35,48,5
4,18,30,33,39,44,27
12,15,21,40,41,49,37
20,28,30,41,43,46,14
12,21,22,28,29,37,43
15,21,27,30,31,34,43
1,6,8,20,30,40,12
4,18,24,34,43,45,40
5,6,18,27,28,39,13
8,9,19,30,39,47,35
13,20,28,32,35,48,5
4,18,30,33,39,44,27
12,15,21,40,41,49,37
20,28,30,41,43,46,14
12,21,22,28,29,37,43
13,33,34,39,44,45,40
5,16,18,36,45,48,17
17,24,31,41,42,46,48
8,13,18,37,38,42,26
21,29,40,43,44,47,18
10,17,19,23,27,47,35
10,14,37,38,44,46,12
10,15,18,20,22,27,46
3,12,21,31,36,44,4
1,12,20,30,35,47,5
13,33,34,39,44,45,40
5,16,18,36,45,48,17
17,24,31,41,42,46,48
8,13,18,37,38,42,26
21,29,40,43,44,47,18
10,17,19,23,27,47,35
10,14,37,38,44,46,12
10,15,18,20,22,27,46
3,12,21,31,36,44,4
1,12,20,30,35,47,5
2,10,12,16,25,43,37
7,29,30,35,44,48,2
9,23,27,29,44,48,34
2,6,8,13,30,45,37
11,24,25,34,44,46,5
1,14,20,22,24,43,19
7,13,17,27,39,42,47
2,7,10,16,18,20,48
2,6,7,10,15,38,28
6,14,23,32,37,41,2
2,10,12,16,25,43,37
7,29,30,35,44,48,2
9,23,27,29,44,48,34
2,6,8,13,30,45,37
11,24,25,34,44,46,5
1,14,20,22,24,43,19
7,13,17,27,39,42,47
2,7,10,16,18,20,48
2,6,7,10,15,38,28
6,14,23,32,37,41,2
1,2,4,7,25,37,36
2,7,8,27,34,44,22
10,16,27,30,39,48,34
23,32,39,41,47,49,34
1,4,15,36,42,46,40
10,14,15,22,29,39,41
13,15,19,31,47,48,37
8,10,11,19,36,49,6
9,20,35,38,39,41,23
5,10,13,20,30,36,9
1,2,4,7,25,37,36
2,7,8,27,34,44,22
10,16,27,30,39,48,34
23,32,39,41,47,49,34
1,4,15,36,42,46,40
10,14,15,22,29,39,41
13,15,19,31,47,48,37
8,10,11,19,36,49,6
9,20,35,38,39,41,23
5,10,13,20,30,36,9
9,12,13,16,39,43,28
9,23,26,31,37,43,14
1,5,22,27,36,37,45
3,9,17,20,36,42,11
10,14,16,18,33,48,15
17,34,37,38,46,48,1
4,7,27,36,41,46,38
9,18,25,29,30,46,26
3,22,25,27,40,44,31
2,3,13,33,42,49,25
9,12,13,16,39,43,28
9,23,26,31,37,43,14
1,5,22,27,36,37,45
3,9,17,20,36,42,11
10,14,16,18,33,48,15
17,34,37,38,46,48,1
4,7,27,36,41,46,38
9,18,25,29,30,46,26
3,22,25,27,40,44,31
2,3,13,33,42,49,25
2,4,15,25,47,48,9
9,10,13,29,32,40,19
10,17,20,26,30,39,46
8,14,16,18,25,45,37
4,9,13,21,26,49,14
12,16,19,41,44,47,36
4,7,25,26,27,42,40
1,8,14,28,41,44,19
4,6,15,18,26,45,38
3,8,13,40,46,48,24
2,4,15,25,47,48,9
9,10,13,29,32,40,19
10,17,20,26,30,39,46
8,14,16,18,25,45,37
4,9,13,21,26,49,14
12,16,19,41,44,47,36
4,7,25,26,27,42,40
1,8,14,28,41,44,19
4,6,15,18,26,45,38
3,8,13,40,46,48,24
14,15,17,41,44,49,48
2,6,33,35,45,47,1
4,6,20,34,43,46,25
9,23,24,25,35,48,12
5,18,22,37,41,46,3
23,27,36,38,43,48,44
3,10,13,22,36,47,43
7,10,12,37,39,48,47
9,18,21,24,25,27,42
9,15,18,26,27,43,45
14,15,17,41,44,49,48
2,6,33,35,45,47,1
4,6,20,34,43,46,25
9,23,24,25,35,48,12
5,18,22,37,41,46,3
23,27,36,38,43,48,44
3,10,13,22,36,47,43
7,10,12,37,39,48,47
9,18,21,24,25,27,42
9,15,18,26,27,43,45
14,20,22,39,40,47,9
5,29,31,32,39,47,2
6,14,25,26,27,38,5
5,10,16,19,44,49,15
23,26,27,28,46,49,12
2,7,25,35,46,47,33
6,14,15,25,26,37,41
24,29,31,33,35,43,7
6,11,17,22,26,40,25
1,7,17,21,23,25,37
14,20,22,39,40,47,9
5,29,31,32,39,47,2
6,14,25,26,27,38,5
5,10,16,19,44,49,15
23,26,27,28,46,49,12
2,7,25,35,46,47,33
6,14,15,25,26,37,41
24,29,31,33,35,43,7
6,11,17,22,26,40,25
1,7,17,21,23,25,37
2,5,7,18,40,42,27
5,21,28,29,31,47,12
21,22,25,27,28,38,19
4,7,14,26,29,42,39
10,16,27,33,37,49,40
2,7,20,38,41,47,21
2,9,22,29,32,39,19
15,20,32,36,37,40,47
12,19,24,27,35,40,39
5,7,36,40,45,48,49
2,5,7,18,40,42,27
5,21,28,29,31,47,12
21,22,25,27,28,38,19
4,7,14,26,29,42,39
10,16,27,33,37,49,40
2,7,20,38,41,47,21
2,9,22,29,32,39,19
15,20,32,36,37,40,47
12,19,24,27,35,40,39
5,7,36,40,45,48,49
6,21,31,36,41,48,2
3,4,14,30,39,47,31
3,13,15,26,30,41,21
10,15,25,30,42,47,1
2,16,20,33,35,37,1
10,12,27,29,43,49,39
9,23,38,40,43,47,45
12,25,26,27,35,38,4
16,17,26,38,41,43,42
15,18,31,34,41,44,46
6,21,31,36,41,48,2
3,4,14,30,39,47,31
3,13,15,26,30,41,21
10,15,25,30,42,47,1
2,16,20,33,35,37,1
10,12,27,29,43,49,39
9,23,38,40,43,47,45
12,25,26,27,35,38,4
16,17,26,38,41,43,42
15,18,31,34,41,44,46
2,4,5,19,34,49,20
25,32,34,38,43,48,10
6,23,31,32,36,45,27
14,21,22,36,37,40,26
1,6,20,24,35,48,15
4,13,16,23,39,40,35
19,21,26,28,41,48,27
2,7,9,16,23,49,1
4,7,34,36,43,47,37
3,10,17,19,21,23,49
2,4,5,19,34,49,20
25,32,34,38,43,48,10
6,23,31,32,36,45,27
14,21,22,36,37,40,26
1,6,20,24,35,48,15
4,13,16,23,39,40,35
19,21,26,28,41,48,27
2,7,9,16,23,49,1
4,7,34,36,43,47,37
3,10,17,19,21,23,49
3,15,16,22,28,37,47
2,4,24,28,29,36,30
16,19,22,43,44,45,5
4,6,9,35,40,48,24
5,9,16,24,25,30,49
5,18,29,39,42,47,21
6,7,15,22,27,33,26
2,8,15,16,19,34,12
4,8,14,33,45,48,35
5,27,38,41,42,47,45
3,15,16,22,28,37,47
2,4,24,28,29,36,30
16,19,22,43,44,45,5
4,6,9,35,40,48,24
5,9,16,24,25,30,49
5,18,29,39,42,47,21
6,7,15,22,27,33,26
2,8,15,16,19,34,12
4,8,14,33,45,48,35
5,27,38,41,42,47,45
9,16,20,26,33,34,46
4,18,24,27,31,37,34
5,14,24,31,45,49,18
8,26,32,34,36,38,47
1,7,10,16,18,28,27
4,5,15,22,27,28,42
3,6,7,8,11,24,44
17,18,21,22,23,47,35
4,8,13,30,40,42,9
16,21,27,30,35,45,29
9,16,20,26,33,34,46
4,18,24,27,31,37,34
5,14,24,31,45,49,18
8,26,32,34,36,38,47
1,7,10,16,18,28,27
4,5,15,22,27,28,42
3,6,7,8,11,24,44
17,18,21,22,23,47,35
4,8,13,30,40,42,9
16,21,27,30,35,45,29
3,6,16,31,34,37,41
6,27,35,36,38,49,46
5,10,24,28,36,47,31
7,11,22,30,32,33,9
4,17,18,38,46,48,25
2,6,15,19,31,46,27
3,17,19,32,38,39,12
12,14,22,35,39,45,6
8,17,21,22,46,49,11
1,19,22,32,37,48,29
3,6,16,31,34,37,41
6,27,35,36,38,49,46
5,10,24,28,36,47,31
7,11,22,30,32,33,9
4,17,18,38,46,48,25
2,6,15,19,31,46,27
3,17,19,32,38,39,12
12,14,22,35,39,45,6
8,17,21,22,46,49,11
1,19,22,32,37,48,29
4,8,14,26,30,45,29
12,22,25,44,45,46,32
10,14,17,19,29,49,6
6,13,35,40,41,44,18
8,10,12,34,44,46,20
4,5,16,33,36,46,26
7,18,23,27,40,44,42
1,5,11,24,40,41,46
4,5,14,23,40,42,7
1,3,17,23,26,42,45
4,8,14,26,30,45,29
12,22,25,44,45,46,32
10,14,17,19,29,49,6
6,13,35,40,41,44,18
8,10,12,34,44,46,20
4,5,16,33,36,46,26
7,18,23,27,40,44,42
1,5,11,24,40,41,46
4,5,14,23,40,42,7
1,3,17,23,26,42,45
4,5,15,26,29,36,18
3,5,16,27,31,33,28
2,26,30,34,35,43,29
1,4,7,22,25,41,36
22,24,35,40,42,43,46
1,15,21,35,38,46,31
6,25,26,41,43,47,9
4,6,12,33,38,49,46
12,17,21,29,45,46,20
7,12,16,34,36,38,35
7,8,14,16,27,43,20
4,6,9,29,40,49,11
1,3,26,31,34,37,40
3,5,6,15,21,37,48
13,19,27,28,32,38,2
3,11,12,29,36,43,44
16,21,30,33,44,49,17
7,27,29,35,39,42,16
2,8,14,18,29,34,35
2,4,18,22,28,42,37
7,8,14,16,27,43,20
4,6,9,29,40,49,11
1,3,26,31,34,37,40
3,5,6,15,21,37,48
13,19,27,28,32,38,2
3,11,12,29,36,43,44
16,21,30,33,44,49,17
7,27,29,35,39,42,16
2,8,14,18,29,34,35
2,4,18,22,28,42,37
6,10,12,23,32,47,29
3,10,14,20,37,39,31
10,20,23,24,30,37,47
11,14,16,20,21,46,7
2,33,38,39,41,46,29
11,20,23,30,33,46,32
13,15,17,31,41,48,32
4,7,37,44,46,48,35
3,4,6,11,15,44,26
5,13,25,42,46,48,41
6,10,12,23,32,47,29
3,10,14,20,37,39,31
10,20,23,24,30,37,47
11,14,16,20,21,46,7
2,33,38,39,41,46,29
11,20,23,30,33,46,32
13,15,17,31,41,48,32
4,7,37,44,46,48,35
3,4,6,11,15,44,26
5,13,25,42,46,48,41
7,10,12,24,37,40,44
7,11,13,23,28,37,36
19,25,27,30,33,42,31
6,9,14,33,41,49,45
15,18,24,31,44,46,12
3,4,21,31,47,48,18
2,9,18,35,36,47,28
12,26,34,37,39,49,30
4,5,14,21,30,33,38
1,9,23,37,40,41,17
7,10,12,24,37,40,44
7,11,13,23,28,37,36
19,25,27,30,33,42,31
6,9,14,33,41,49,45
15,18,24,31,44,46,12
3,4,21,31,47,48,18
2,9,18,35,36,47,28
12,26,34,37,39,49,30
4,5,14,21,30,33,38
1,9,23,37,40,41,17
11,16,21,27,38,39,34
6,10,11,18,32,48,26
2,18,30,36,37,40,6
8,9,10,31,44,46,22
16,27,32,35,37,40,49
14,23,24,32,37,43,40
4,9,25,39,43,46,13
1,2,8,12,34,46,30
3,13,18,29,43,49,20
9,10,11,19,26,39,23
11,16,21,27,38,39,34
6,10,11,18,32,48,26
2,18,30,36,37,40,6
8,9,10,31,44,46,22
16,27,32,35,37,40,49
14,23,24,32,37,43,40
4,9,25,39,43,46,13
1,2,8,12,34,46,30
3,13,18,29,43,49,20
9,10,11,19,26,39,23
13,17,24,26,27,37,1
7,13,20,38,39,45,31
1,7,30,31,32,49,17
9,10,17,25,30,33,23
10,23,36,38,46,48,25
1,13,29,39,43,47,42
3,7,21,28,29,49,27
3,4,8,24,29,45,9
4,10,11,12,15,28,23
1,4,28,43,47,48,32
13,17,24,26,27,37,1
7,13,20,38,39,45,31
1,7,30,31,32,49,17
9,10,17,25,30,33,23
10,23,36,38,46,48,25
1,13,29,39,43,47,42
3,7,21,28,29,49,27
3,4,8,24,29,45,9
4,10,11,12,15,28,23
1,4,28,43,47,48,32
16,17,19,24,32,40,2
7,15,21,22,27,39,45
5,21,22,27,35,42,24
2,9,14,23,28,33,12
1,4,17,33,40,44,49
1,4,17,23,31,32,42
3,17,23,35,36,48,45
4,5,32,36,42,43,28
7,11,21,32,34,45,43
2,3,12,13,19,32,24
16,17,19,24,32,40,2
7,15,21,22,27,39,45
5,21,22,27,35,42,24
2,9,14,23,28,33,12
1,4,17,33,40,44,49
1,4,17,23,31,32,42
3,17,23,35,36,48,45
4,5,32,36,42,43,28
7,11,21,32,34,45,43
2,3,12,13,19,32,24
5,18,24,33,36,41,1
10,24,32,36,39,48,21
1,7,11,15,19,28,20
8,13,15,25,31,35,40
2,25,34,42,46,47,4
10,25,40,42,47,49,39
13,17,18,20,32,44,34
5,9,10,16,29,30,43
2,3,29,31,37,48,21
9,10,19,23,37,40,47
5,18,24,33,36,41,1
10,24,32,36,39,48,21
1,7,11,15,19,28,20
8,13,15,25,31,35,40
2,25,34,42,46,47,4
10,25,40,42,47,49,39
13,17,18,20,32,44,34
5,9,10,16,29,30,43
2,3,29,31,37,48,21
9,10,19,23,37,40,47
2,5,24,38,43,44,13
20,22,23,26,42,47,18
3,12,20,22,24,47,9
2,14,15,18,19,35,21
4,12,24,36,37,41,23
8,15,21,28,33,37,43
7,10,14,17,35,36,37
1,4,12,31,35,49,2
3,24,26,35,39,45,44
12,14,19,27,29,35,32
2,5,24,38,43,44,13
20,22,23,26,42,47,18
3,12,20,22,24,47,9
2,14,15,18,19,35,21
4,12,24,36,37,41,23
8,15,21,28,33,37,43
7,10,14,17,35,36,37
1,4,12,31,35,49,2
3,24,26,35,39,45,44
12,14,19,27,29,35,32
1,3,10,12,29,31,27
2,11,20,33,34,37,10
17,23,32,44,47,48,37
16,22,32,33,42,48,4
9,18,25,29,35,39,21
20,27,28,33,42,47,24
20,22,28,31,37,48,7
9,30,40,43,45,49,27
4,17,18,21,23,47,49
11,19,20,25,31,36,22
1,3,10,12,29,31,27
2,11,20,33,34,37,10
17,23,32,44,47,48,37
16,22,32,33,42,48,4
9,18,25,29,35,39,21
20,27,28,33,42,47,24
20,22,28,31,37,48,7
9,30,40,43,45,49,27
4,17,18,21,23,47,49
11,19,20,25,31,36,22
6,10,17,19,25,39,7
11,30,34,36,37,41,44
3,18,20,26,34,45,17
11,18,24,31,38,44,10
5,21,32,34,37,47,36
3,19,28,30,33,47,39
7,16,28,34,41,48,46
8,25,31,40,43,49,36
6,17,30,31,39,48,38
1,4,8,9,23,49,11
6,10,17,19,25,39,7
11,30,34,36,37,41,44
3,18,20,26,34,45,17
11,18,24,31,38,44,10
5,21,32,34,37,47,36
3,19,28,30,33,47,39
7,16,28,34,41,48,46
8,25,31,40,43,49,36
6,17,30,31,39,48,38
1,4,8,9,23,49,11
1,14,16,21,34,44,10
4,20,23,27,33,37,49
2,7,16,32,43,49,39
5,10,23,27,30,45,22
9,20,39,46,47,49,26
28,32,39,47,48,49,31
4,7,11,33,38,41,13
8,15,16,35,37,45,11
9,14,32,35,38,43,48
2,6,25,35,37,38,8
1,14,16,21,34,44,10
4,20,23,27,33,37,49
2,7,16,32,43,49,39
5,10,23,27,30,45,22
9,20,39,46,47,49,26
28,32,39,47,48,49,31
4,7,11,33,38,41,13
8,15,16,35,37,45,11
9,14,32,35,38,43,48
2,6,25,35,37,38,8
2,11,16,20,41,44,24
9,23,25,32,36,47,7
3,4,20,36,43,49,31
6,19,23,33,35,38,7
17,20,21,23,24,40,18
18,19,26,31,39,46,48
1,10,19,21,29,49,34
11,16,21,23,30,42,18
6,8,13,27,29,38,49
2,5,22,36,38,42,1
5,14,33,38,42,46,41
2,8,29,31,40,42,33
15,17,22,25,32,42,36
11,13,15,20,26,29,5
19,38,41,44,47,48,11
16,36,39,40,47,48,28
3,7,16,26,34,43,27
2,3,11,32,33,48,6
11,12,13,26,42,49,31
2,11,14,17,22,36,1
5,14,33,38,42,46,41
2,8,29,31,40,42,33
15,17,22,25,32,42,36
11,13,15,20,26,29,5
19,38,41,44,47,48,11
16,36,39,40,47,48,28
3,7,16,26,34,43,27
2,3,11,32,33,48,6
11,12,13,26,42,49,31
2,11,14,17,22,36,1
3,8,12,20,21,45,38
10,12,17,34,44,47,14
9,15,27,30,41,45,33
1,4,5,23,33,42,39
2,7,30,35,41,43,19
3,5,18,20,34,35,14
4,9,10,13,17,37,23
6,18,31,36,44,45,32
17,20,22,25,46,47,40
22,26,30,35,42,48,15
2,13,35,37,38,41,28
12,21,23,24,29,36,30
6,9,20,25,32,41,16
1,3,27,33,43,48,49
14,31,33,35,40,48,23
6,9,18,26,37,45,19
1,3,10,24,26,30,8
23,31,32,35,47,48,10
3,26,31,35,39,45,11
23,33,35,36,38,45,42
2,13,35,37,38,41,28
12,21,23,24,29,36,30
6,9,20,25,32,41,16
1,3,27,33,43,48,49
14,31,33,35,40,48,23
6,9,18,26,37,45,19
1,3,10,24,26,30,8
23,31,32,35,47,48,10
3,26,31,35,39,45,11
23,33,35,36,38,45,42
1,6,33,38,39,43,3
11,14,17,26,29,34,2
3,10,20,28,37,42,44
7,11,21,24,44,46,31
1,3,9,24,31,38,6
4,21,30,31,41,44,1
4,10,18,20,31,32,1
13,16,32,37,38,46,40
4,10,20,36,43,46,44
1,16,19,21,27,38,28
1,6,33,38,39,43,3
11,14,17,26,29,34,2
3,10,20,28,37,42,44
7,11,21,24,44,46,31
1,3,9,24,31,38,6
4,21,30,31,41,44,1
4,10,18,20,31,32,1
13,16,32,37,38,46,40
4,10,20,36,43,46,44
1,16,19,21,27,38,28
3,11,20,24,32,39,12
8,18,22,42,47,48,27
6,13,20,26,30,44,8
15,16,18,26,31,34,5
2,5,8,23,32,42,49
12,24,28,36,38,42,37
3,6,11,14,34,47,4
10,14,15,39,45,48,5
20,23,25,35,41,47,18
1,4,12,20,28,42,43
3,11,20,24,32,39,12
8,18,22,42,47,48,27
6,13,20,26,30,44,8
15,16,18,26,31,34,5
2,5,8,23,32,42,49
12,24,28,36,38,42,37
3,6,11,14,34,47,4
10,14,15,39,45,48,5
20,23,25,35,41,47,18
1,4,12,20,28,42,43
2,33,36,41,43,48,28
1,15,18,27,44,49,29
6,18,19,20,41,44,43
4,11,18,21,40,48,33
1,3,4,14,35,36,10
13,18,19,32,35,36,43
2,20,25,31,32,38,35
2,5,7,17,44,46,38
15,19,20,23,25,30,16
7,8,19,23,26,37,16
2,33,36,41,43,48,28
1,15,18,27,44,49,29
6,18,19,20,41,44,43
4,11,18,21,40,48,33
1,3,4,14,35,36,10
13,18,19,32,35,36,43
2,20,25,31,32,38,35
2,5,7,17,44,46,38
15,19,20,23,25,30,16
7,8,19,23,26,37,16
4,31,34,37,40,45,26
17,21,29,33,45,48,30
24,26,36,41,46,49,16
4,9,15,22,35,43,36
7,8,13,20,32,39,19
5,18,21,25,30,43,2
14,31,35,38,41,48,36
4,5,7,23,29,37,30
7,11,22,24,31,42,10
11,14,15,26,33,40,10
4,31,34,37,40,45,26
17,21,29,33,45,48,30
24,26,36,41,46,49,16
4,9,15,22,35,43,36
7,8,13,20,32,39,19
5,18,21,25,30,43,2
14,31,35,38,41,48,36
4,5,7,23,29,37,30
7,11,22,24,31,42,10
11,14,15,26,33,40,10
9,25,37,41,42,46,15
1,10,41,43,44,46,26
11,13,24,28,32,35,49
16,23,30,36,37,43,9
34,35,39,41,43,46,30
3,6,19,23,36,45,14
9,25,35,42,44,48,41
15,18,23,26,31,41,8
1,3,15,17,36,49,28
2,16,18,28,41,44,6
1,10,17,18,31,41,9
7,8,16,26,32,47,1
1,21,22,23,36,49,26
6,12,17,34,43,44,15
10,11,15,16,18,48,30
5,8,11,35,37,46,38
13,15,19,27,40,46,36
7,8,11,16,30,40,49
5,8,31,33,43,44,7
2,10,30,34,42,47,44
1,10,17,18,31,41,9
7,8,16,26,32,47,1
1,21,22,23,36,49,26
6,12,17,34,43,44,15
10,11,15,16,18,48,30
5,8,11,35,37,46,38
13,15,19,27,40,46,36
7,8,11,16,30,40,49
5,8,31,33,43,44,7
2,10,30,34,42,47,44
10,17,35,41,45,47,30
3,9,10,33,34,48,17
2,9,10,25,33,43,27
5,8,20,21,25,49,29
2,6,7,14,33,42,17
11,12,17,23,32,41,14
11,28,29,37,41,46,40
7,10,17,19,22,25,20
1,3,11,23,25,37,4
7,9,25,36,45,47,31
10,17,35,41,45,47,30
3,9,10,33,34,48,17
2,9,10,25,33,43,27
5,8,20,21,25,49,29
2,6,7,14,33,42,17
11,12,17,23,32,41,14
11,28,29,37,41,46,40
7,10,17,19,22,25,20
1,3,11,23,25,37,4
7,9,25,36,45,47,31
9,14,40,43,45,46,23
1,2,15,19,30,33,47
6,10,11,26,28,37,33
12,13,17,24,28,49,39
8,10,18,27,32,36,24
19,25,28,32,36,46,13
1,9,33,37,48,49,41
16,22,29,35,46,49,5
1,15,24,34,37,48,14
2,9,11,13,22,39,41
